O-name,O-OSMID,O-id,D-name,D-OSMID,D-id,O-adress,O-Lng,O-Lat,D-adress,D-Lng,D-Lat
福中路,W996207992,2319202440,彩石路,W26274669,8869146293,114.06283 22.54759,114.06283,22.54759,114.06291 22.53384,114.06291,22.53384
泰然七路,W636701234,7973259261,石厦?北四街,W96329677,8167985719,114.02225 22.53554,114.02225,22.53554,114.04682 22.52760,114.04682,22.5276
无,n1476460594,1476460594,福中路,w996625967,7961542848,114.01376 22.56435,114.01376,22.56435,114.04671 22.54737,114.04671,22.54737
福华三路,w996752253,7959990831,丹桂路,w819859494,8195511759,114.04793 22.53535,114.04793,22.53535,114.05717 22.51747,114.05717,22.51747
回雁路,w245925469,7985225822,香蜜湖路,n498883172,498883172,114.03992 22.56004,114.03992,22.56004,114.02306 22.53992,114.02306,22.53992
景田北一街,w856212692,7985225822,无,n499281470,499281470,114.03992 22.56004,114.03992,22.56004,114.04473 22.53202,114.04473,22.53202
梅东一路,w285224627,8624023667,无,n8201901223,8201901223,114.06388 22.57256,114.06388,22.57256,114.09934 22.55086,114.09934,22.55086
无,n2529179621,2529179621,无,825414384,7707200950,114.01725 22.53541,114.01725,22.53541,114.06520 22.52800,114.06520 ,22.52800 
景田路,w855388125,7977055990,龙秋一街,w229037020,2376751145,114.03981 22.55413,114.03981,22.55413,114.06151 22.52329,114.06151,22.52329
兴融九路,W245443881,7959590802,福喜六街,w808262473,8148654288,114.04556 22.53944,114.04556,22.53944,114.06442 22.52974,114.06442,22.52974
景田北三街,w856409071,7985225692,丹桂路,w819859494,8195511759,114.03741 22.56133,114.03741,22.56133,114.05717 22.51747,114.05717,22.51747
香轩路,w96334038,1116501271,深南中路,w330319638,6261187068,114.02044 22.54252,114.02044,22.54252,114.08784 22.54321,114.08784,22.54321
农轩路,w996188185,7986471730,无,246568767,2529006369,114.01547 22.54175,114.01547,22.54175,114.03597 22.57184,114.03597,22.57184
莲花路,w996188197,7979925184,福港路,w229396278,7707208791,114.03877 22.55607,114.03877,22.55607,114.06520 22.52976,114.06520 ,22.52976
桂花路,w830725880,598723699,无,228119770,2367574809,114.04589 22.51236,114.04589,22.51236,114.06619 22.54685,114.06619,22.54685
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
